"","parcelid","logerror","transactiondate","airconditioningtypeid","architecturalstyletypeid","basementsqft","bathroomcnt","bedroomcnt","buildingclasstypeid","buildingqualitytypeid","calculatedbathnbr","decktypeid","finishedfloor1squarefeet","calculatedfinishedsquarefeet","finishedsquarefeet12","finishedsquarefeet13","finishedsquarefeet15","finishedsquarefeet50","finishedsquarefeet6","fips","fireplacecnt","fullbathcnt","garagecarcnt","garagetotalsqft","hashottuborspa","heatingorsystemtypeid","latitude","longitude","lotsizesquarefeet","poolcnt","poolsizesum","pooltypeid10","pooltypeid2","pooltypeid7","propertycountylandusecode","propertylandusetypeid","propertyzoningdesc","rawcensustractandblock","regionidcity","regionidcounty","regionidneighborhood","regionidzip","roomcnt","storytypeid","threequarterbathnbr","typeconstructiontypeid","unitcnt","yardbuildingsqft17","yardbuildingsqft26","yearbuilt","numberofstories","fireplaceflag","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount","taxdelinquencyflag","taxdelinquencyyear","censustractandblock"
"11",10712316,-0.0387,"2016-10-06",1,NA,NA,4,4,NA,4,4,NA,NA,2760,2760,NA,NA,NA,NA,6037,NA,4,NA,NA,"",2,34228487,-118610610,11072,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",268037,589149,2015,321112,7436.16,"",NA,2.98273024803422e-310
"12",10712345,0.0178,"2016-09-16",1,NA,NA,3,4,NA,4,3,NA,NA,2717,2717,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34230301,-118611987,11732,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1966,NA,"",96268,123582,2015,27314,1754.25,"",NA,2.98273024803422e-310
"13",10712375,0.1493,"2016-01-11",1,NA,NA,2,4,NA,4,2,NA,NA,2654,2654,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34231941,-118610002,22853,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.321,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1970,NA,"",153691,394473,2015,240782,5092.93,"",NA,2.98273024803422e-310
"14",10712391,0.0218,"2016-07-08",1,NA,NA,4,4,NA,4,4,NA,NA,2984,2984,NA,NA,NA,NA,6037,NA,4,NA,NA,"",2,34231673,-118610168,15630,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1979,NA,"",234000,750000,2015,516000,10327.94,"",NA,2.98273024803422e-310
"15",10712451,0.0554,"2016-06-08",1,NA,NA,2,3,NA,7,2,NA,NA,1404,1404,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34221180,-118629148,6693,NA,NA,NA,NA,NA,"010D",269,"LARS",60371132.312002,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1973,NA,"",45874,68084,2015,22210,990.68,"",NA,2.98273024758966e-310
"16",10712478,-0.0954,"2016-08-02",1,NA,NA,2,4,NA,7,2,NA,NA,1519,1519,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34224285,-118630098,6392,NA,NA,NA,NA,NA,"010D",269,"LARS",60371132.312,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1972,NA,"",90166,450830,2015,360664,5538.6,"",NA,2.98273024758956e-310
"17",10712525,0.007,"2016-10-05",1,NA,NA,2,4,NA,7,2,NA,NA,1519,1519,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34224402,-118630972,6373,1,NA,NA,NA,1,"010D",269,"LARS",60371132.312001,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1972,NA,"",132086,359106,2015,227020,4516.19,"",NA,2.98273024758961e-310
"18",10712533,-0.0325,"2016-09-20",1,NA,NA,2,4,NA,4,2,NA,NA,1519,1519,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34224121,-118631939,6370,NA,NA,NA,NA,NA,"010D",269,"LARS",60371132.312001,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1972,NA,"",168000,495000,2015,327000,6202.82,"",NA,2.98273024758961e-310
"19",10712550,-0.0704,"2016-10-28",1,NA,NA,3,4,NA,4,3,NA,NA,2023,2023,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34222388,-118630559,7131,NA,NA,NA,NA,NA,"010D",269,"LARS",60371132.312005,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1969,NA,"",227565,522550,2015,294985,6517.99,"",NA,2.98273024758981e-310
"20",10712596,-0.0315,"2016-08-24",1,NA,NA,2,4,NA,7,2,NA,NA,1519,1519,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34221068,-118630766,6917,NA,NA,NA,NA,NA,"010D",269,"LARS",60371132.312006,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1971,NA,"",47915,71350,2015,23435,1100.82,"",NA,2.98273024758986e-310
"21",10712648,0.0218,"2016-10-06",1,NA,NA,3,3,NA,4,3,NA,NA,2415,2415,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34220457,-118632545,11097,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.311045,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",97356,125077,2015,27721,1760.62,"",NA,2.98273024754238e-310
"22",10712667,0.004,"2016-06-14",NA,NA,NA,2,3,NA,4,2,NA,NA,1962,1962,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34221329,-118633007,11016,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.311041,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",246810,649784,2015,402974,8161.87,"",NA,2.98273024754218e-310
"23",10712693,-0.0576,"2016-04-21",1,NA,NA,3,4,NA,4,3,NA,NA,2203,2203,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34222805,-118632395,10807,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.311039,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1967,NA,"",216219,383410,2015,167191,4856.84,"",NA,2.98273024754208e-310
"24",10712739,0.002,"2016-06-15",1,NA,NA,2,4,NA,4,2,NA,NA,2090,2090,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34221868,-118632989,12156,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.311039,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",142257,243866,2015,101609,3259.62,"",NA,2.98273024754208e-310
"25",10712766,-0.078,"2016-04-20",1,NA,NA,3,3,NA,4,3,NA,NA,1826,1826,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34223731,-118633166,8200,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.311038,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1967,NA,"",212581,339186,2015,126605,4363.83,"",NA,2.98273024754203e-310
"26",10712798,-0.007,"2016-02-29",1,NA,NA,2,4,NA,4,2,NA,NA,2378,2378,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34221609,-118635601,11056,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.311038,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",286754,586300,2015,299546,7417.35,"",NA,2.98273024754203e-310
"27",10712818,0.063,"2016-06-03",1,NA,NA,3,4,NA,4,3,NA,NA,2449,2449,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34220576,-118637119,11107,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.311044,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",182282,332322,2015,150040,6888.28,"",NA,2.98273024754233e-310
"28",10712916,0.0119,"2016-07-15",NA,NA,NA,2,4,NA,4,2,NA,NA,2110,2110,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34219425,-118641223,11233,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.311035,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1964,NA,"",94998,122312,2015,27314,1695.37,"Y",10,2.98273024754189e-310
"29",10712919,0.1169,"2016-09-09",1,NA,NA,3,4,NA,4,3,NA,NA,2170,2170,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34219434,-118641979,11373,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.311035,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1964,NA,"",151500,635000,2015,483500,8039.63,"",NA,2.98273024754189e-310
"30",10713169,0.0639,"2016-01-19",NA,NA,NA,1,2,NA,7,1,NA,NA,742,742,NA,NA,NA,NA,6037,NA,1,NA,NA,"",NA,34239007,-118639092,8205,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351021,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1981,NA,"",73000,364000,2015,291000,4378.79,"",NA,2.98273024951746e-310
"31",10713366,0.0296,"2016-02-23",1,NA,NA,3,3,NA,4,3,NA,NA,2060,2060,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34239416,-118641913,4010,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351026,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1993,NA,"",189002,479288,2015,290286,5850.71,"",NA,2.9827302495177e-310
"32",10713370,0.002,"2016-01-13",1,NA,NA,3,4,NA,4,3,NA,NA,2198,2198,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34239483,-118641648,4027,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351026,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,2003,NA,"",191997,520513,2015,328516,6329.51,"",NA,2.9827302495177e-310
"33",10713399,0.0178,"2016-08-08",1,NA,NA,2,3,NA,4,2,NA,NA,1788,1788,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34238833,-118642440,6000,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351026,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1990,NA,"",205566,440348,2015,234782,5377.88,"",NA,2.9827302495177e-310
"34",10713529,0.0469,"2016-08-26",1,NA,NA,3,4,NA,7,3,NA,NA,1768,1768,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34237925,-118630775,5996,NA,NA,NA,NA,NA,"0100",261,"LCR1",60371132.351042,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1986,NA,"",158948,276459,2015,117511,3437.13,"",NA,2.98273024951849e-310
"35",10713552,0.1053,"2016-08-31",NA,NA,NA,1,1,NA,7,1,NA,NA,1237,1237,NA,NA,NA,NA,6037,NA,1,NA,NA,"",2,34238102,-118629959,9068,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351042,12447,3101,37835,96346,0,NA,NA,NA,1,NA,NA,1930,NA,"",66731,333657,2015,266926,4217.58,"",NA,2.98273024951849e-310
"36",10713562,-0.009,"2016-12-08",NA,NA,NA,1,3,NA,7,1,NA,NA,1360,1360,NA,NA,NA,NA,6037,NA,1,NA,NA,"",7,34237314,-118630718,6482,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351042,12447,3101,37835,96346,0,NA,NA,NA,1,NA,NA,1964,NA,"",61764,248732,2015,186968,3092.11,"",NA,2.98273024951849e-310
"37",10713640,0.0139,"2016-05-06",1,NA,NA,3,3,NA,4,3,NA,NA,1786,1786,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34239631,-118632370,1999,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351009,12447,3101,37835,96346,0,NA,NA,NA,1,NA,NA,1998,NA,"",355496,415743,2015,60247,5156.63,"",NA,2.98273024951686e-310
"38",10713717,0.2994,"2016-01-12",NA,NA,NA,1,2,NA,7,1,NA,NA,720,720,NA,NA,NA,NA,6037,NA,1,NA,NA,"",NA,34239646,-118635561,4154,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351014,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1947,NA,"",158773,255149,2015,96376,3212.88,"",NA,2.98273024951711e-310
"39",10713724,-0.0408,"2016-03-08",1,NA,NA,2,3,NA,4,2,NA,NA,2301,2301,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34239574,-118635298,4000,NA,NA,NA,NA,NA,"0100",261,"LCR16000*",60371132.351004,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1990,NA,"",214142,357586,2015,143444,4496.55,"",NA,2.98273024951662e-310
"40",10713907,0.0119,"2016-12-23",1,NA,NA,2,3,NA,4,2,NA,NA,1310,1310,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34238681,-118636124,4999,NA,NA,NA,NA,NA,"0100",261,"LCR16000-R",60371132.351019,NA,3101,NA,96346,0,NA,NA,NA,1,NA,NA,1987,NA,"",205946,430335,2015,224389,5323.71,"",NA,2.98273024951736e-310
"41",10713921,0.0286,"2016-06-22",NA,NA,NA,2,3,NA,4,2,NA,NA,1822,1822,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34222098,-118613493,11049,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.321015,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1958,NA,"",136771,210348,2015,73577,2839.37,"",NA,2.98273024803496e-310
"42",10713956,-0.0263,"2016-07-14",NA,NA,NA,3,4,NA,4,3,NA,NA,2249,2249,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34223208,-118611436,12393,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.321014,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",75255,98480,2015,23225,1435.57,"",NA,2.98273024803491e-310
"43",10714158,-0.0253,"2016-03-07",1,NA,NA,3,4,NA,7,3,NA,NA,2165,2165,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34230886,-118602171,12253,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.322004,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1973,NA,"",205164,477978,2015,272814,5575.95,"",NA,2.98273024808383e-310
"44",10714215,-0.112,"2016-04-13",NA,NA,NA,2,4,NA,4,2,NA,NA,1679,1679,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34227651,-118607854,11021,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.32201,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1960,NA,"",61790,90125,2015,28335,1281.8,"",NA,2.98273024808412e-310
"45",10714236,-0.0545,"2016-03-25",1,NA,NA,2,3,NA,4,2,NA,NA,2146,2146,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34228360,-118609730,12704,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.32201,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1963,NA,"",320171,739484,2015,419313,9268.08,"",NA,2.98273024808412e-310
"46",10714293,-0.0523,"2016-06-27",NA,NA,NA,3,4,NA,4,3,NA,NA,2198,2198,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34224636,-118606848,11499,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.32202,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1960,NA,"",65667,86647,2015,20980,1267.86,"",NA,2.98273024808462e-310
"47",10714320,-0.0387,"2016-06-29",NA,NA,NA,3,4,NA,4,3,NA,NA,2513,2513,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34225361,-118608778,10999,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.322011,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1960,NA,"",155000,605000,2015,450000,8387.32,"",NA,2.98273024808417e-310
"48",10714370,0.0392,"2016-07-19",NA,NA,NA,2,4,NA,4,2,NA,NA,2204,2204,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34223884,-118609435,11517,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.32201,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1960,NA,"",144171,240866,2015,96695,3233.82,"",NA,2.98273024808412e-310
"49",10714373,0.0109,"2016-10-18",1,NA,NA,3,4,NA,4,3,NA,NA,1858,1858,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34223176,-118608614,8948,NA,NA,NA,NA,NA,"0100",261,"LARS",60371132.322014,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",175215,498898,2015,323683,6278.15,"",NA,2.98273024808432e-310
"50",10714381,-0.0202,"2016-03-17",NA,NA,NA,3,4,NA,4,3,NA,NA,2037,2037,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34223206,-118609258,8680,NA,NA,NA,NA,NA,"0100",261,"LARS",60371132.322014,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",415741,612951,2015,197210,7680.79,"",NA,2.98273024808432e-310
"51",10714384,0.0705,"2016-08-30",NA,NA,NA,2,3,NA,7,2,NA,NA,1144,1144,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34223465,-118608605,8141,NA,NA,NA,NA,NA,"0100",261,"LARS",60371132.322014,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",37513,52994,2015,15481,859.8,"",NA,2.98273024808432e-310
"52",10714389,0.0611,"2016-10-19",NA,NA,NA,2,3,NA,7,2,NA,NA,1144,1144,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34223051,-118608051,8084,NA,NA,NA,NA,NA,"0100",261,"LARS",60371132.322014,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",160479,260775,2015,100296,3384.14,"",NA,2.98273024808432e-310
"53",10714397,-0.0987,"2016-03-11",NA,NA,NA,2,3,NA,7,2,NA,NA,1144,1144,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34222786,-118608306,9267,NA,NA,NA,NA,NA,"0100",261,"LARS",60371132.322014,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",160800,420000,2015,259200,5650.6,"",NA,2.98273024808432e-310
"54",10714444,0.004,"2016-06-15",1,NA,NA,2,4,NA,4,2,NA,NA,2022,2022,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34232679,-118607208,11261,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.322001,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1970,NA,"",80681,110438,2015,29757,1655.56,"",NA,2.98273024808368e-310
"55",10714454,-0.0243,"2016-08-19",1,NA,NA,3,4,NA,4,3,NA,NA,2122,2122,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34232423,-118606775,12292,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.322001,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1970,NA,"",283286,422978,2015,139692,5364.4,"",NA,2.98273024808368e-310
"56",10714463,-0.0619,"2016-03-25",1,NA,NA,2,3,NA,4,2,NA,NA,1535,1535,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34232235,-118605872,10603,1,NA,NA,NA,1,"0101",261,"LARE11",60371132.322002,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1970,NA,"",122142,251547,2015,129405,3243.29,"",NA,2.98273024808373e-310
"57",10714470,-0.0534,"2016-03-09",1,NA,NA,2,4,NA,4,2,NA,NA,1818,1818,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34233211,-118604584,11520,NA,NA,NA,NA,NA,"0100",261,"LARE11",60371132.322002,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1969,NA,"",188200,575000,2015,386800,7248.3,"",NA,2.98273024808373e-310
"58",10714509,0.0296,"2016-07-07",NA,NA,NA,2,3,NA,7,2,NA,NA,1144,1144,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34221634,-118608839,8130,NA,NA,NA,NA,NA,"0100",261,"LARS",60371132.322016,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,1959,NA,"",49819,234779,2015,184960,2981.04,"",NA,2.98273024808442e-310
"59",10714556,0.0953,"2016-10-04",1,NA,NA,3,4,NA,4,3,NA,NA,2224,2224,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34220762,-118608843,93317,NA,NA,NA,NA,NA,"01DC",266,"LARD3",60371132.322017,12447,3101,268588,96339,0,NA,NA,NA,1,NA,NA,2002,NA,"",210064,350107,2015,140043,4409.28,"",NA,2.98273024808447e-310
"60",10714574,-0.0346,"2016-06-17",1,NA,NA,2,4,NA,4,2,NA,NA,1850,1850,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34216689,-118607026,7569,NA,NA,NA,NA,NA,"0100",261,"LARS",60371343.041001,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1973,NA,"",153360,267539,2015,114179,3399.45,"",NA,2.98274065898556e-310
"61",10714584,-0.0715,"2016-07-06",1,NA,NA,3,4,NA,4,3,NA,NA,1812,1812,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34215692,-118605861,173412,NA,NA,NA,NA,NA,"01DC",266,"LARD3",60371343.041001,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1979,NA,"",185375,370536,2015,185161,4598.2,"",NA,2.98274065898556e-310
"62",10714619,-0.0598,"2016-04-01",1,NA,NA,3,3,NA,4,3,NA,NA,1447,1447,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34216849,-118605850,173412,NA,NA,NA,NA,NA,"01DC",266,"LARD3",60371343.041001,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1979,NA,"",135915,176157,2015,40242,2168.57,"",NA,2.98274065898556e-310
"63",10714643,0.1204,"2016-07-26",1,NA,NA,3,3,NA,4,3,NA,NA,1695,1695,NA,NA,NA,NA,6037,NA,3,NA,NA,"",2,34217499,-118605768,85278,NA,NA,NA,NA,NA,"01DC",266,"LARD3",60371343.041001,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1979,NA,"",174743,375907,2015,201164,4634.08,"",NA,2.98274065898556e-310
"64",10714684,-0.0346,"2016-10-14",1,NA,NA,2,3,NA,4,2,NA,NA,1987,1987,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34217669,-118607949,9540,NA,NA,NA,NA,NA,"0100",261,"LARS",60371343.042,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1957,NA,"",128432,240723,2015,112291,3077.58,"",NA,2.98274065903492e-310
"65",10714739,0.0266,"2016-05-12",NA,NA,NA,2,3,NA,4,2,NA,NA,1747,1747,NA,NA,NA,NA,6037,NA,2,NA,NA,"",2,34216244,-118607583,7558,NA,NA,NA,NA,NA,"0100",261,"LARS",60371343.042,12447,3101,30731,96339,0,NA,NA,NA,1,NA,NA,1957,NA,"",55462,77057,2015,21595,1174.64,"",NA,2.98274065903492e-310
